time	I(L1)
1.724084625090824e-001	-5.912435e-003
1.725546053662254e-001	-6.814685e-003
1.727007482233684e-001	-7.712120e-003
1.728468910805114e-001	-8.604738e-003
1.729930339376544e-001	-9.492541e-003
1.729940339376544e-001	-9.498596e-003
1.731401767947974e-001	-1.038110e-002
1.732863196519404e-001	-1.125797e-002
1.734324625090834e-001	-1.212920e-002
1.735786053662264e-001	-1.299478e-002
1.737247482233695e-001	-1.385472e-002
1.738708910805124e-001	-1.470902e-002
1.740170339376554e-001	-1.555768e-002
1.740180339376554e-001	-1.556347e-002
1.750420339376565e-001	-2.133250e-002
1.760660339376575e-001	-2.677020e-002
1.770900339376585e-001	-3.184463e-002
1.781140339376595e-001	-3.652757e-002
1.791380339376606e-001	-4.079461e-002
1.801620339376616e-001	-4.462526e-002
1.811860339376626e-001	-4.800291e-002
1.822100339376636e-001	-5.091495e-002
1.832340339376647e-001	-5.335268e-002
1.842580339376657e-001	-5.531128e-002
1.852820339376667e-001	-5.678973e-002
1.863060339376677e-001	-5.779073e-002
1.873300339376688e-001	-5.832053e-002
1.883540339376698e-001	-5.838883e-002
1.885001767948128e-001	-5.836154e-002
1.886463196519558e-001	-5.832527e-002
1.887924625090988e-001	-5.828001e-002
1.889386053662418e-001	-5.822577e-002
1.890847482233848e-001	-5.816254e-002
1.892308910805278e-001	-5.809033e-002
1.893770339376708e-001	-5.800913e-002
1.893780339376708e-001	-5.800855e-002
1.895241767948138e-001	-5.791846e-002
1.896703196519568e-001	-5.781973e-002
1.898164625090998e-001	-5.771238e-002
1.899626053662428e-001	-5.759640e-002
1.901087482233858e-001	-5.747179e-002
1.902548910805288e-001	-5.733854e-002
1.904010339376718e-001	-5.719667e-002
1.904020339376718e-001	-5.719567e-002
1.905481767948148e-001	-5.704529e-002
1.906943196519578e-001	-5.688670e-002
1.908404625091008e-001	-5.671988e-002
1.909866053662438e-001	-5.654485e-002
1.911327482233869e-001	-5.636159e-002
1.912788910805298e-001	-5.617012e-002
1.914250339376729e-001	-5.597042e-002
1.914260339376729e-001	-5.596903e-002
1.915721767948159e-001	-5.576127e-002
1.917183196519589e-001	-5.554576e-002
1.918644625091019e-001	-5.532249e-002
1.920106053662449e-001	-5.509146e-002
1.921567482233879e-001	-5.485268e-002
1.923028910805309e-001	-5.460613e-002
1.924490339376739e-001	-5.435183e-002
1.924500339376739e-001	-5.435007e-002
1.934740339376749e-001	-5.236261e-002
1.944980339376759e-001	-5.003258e-002
1.955220339376770e-001	-4.738780e-002
1.965460339376780e-001	-4.445769e-002
1.975700339376790e-001	-4.127294e-002
1.985940339376800e-001	-3.786536e-002
1.996180339376810e-001	-3.426751e-002
2.006420339376821e-001	-3.051244e-002
2.016660339376831e-001	-2.663346e-002
2.026900339376841e-001	-2.266385e-002
2.037140339376851e-001	-1.863661e-002
2.047380339376862e-001	-1.458423e-002
2.057620339376872e-001	-1.053844e-002
2.067860339376882e-001	-6.529982e-003
2.078100339376892e-001	-2.588430e-003
2.079083196519750e-001	-2.214620e-003
2.080066053662609e-001	-1.841770e-003
2.081048910805467e-001	-1.469882e-003
2.082031767948325e-001	-1.098956e-003
2.083014625091183e-001	-7.289905e-004
2.083997482234041e-001	-3.599867e-004
2.084980339376899e-001	8.055750e-006
2.085458910805471e-001	1.868638e-004
2.085937482234043e-001	3.654149e-004
2.086416053662615e-001	5.437091e-004
2.086894625091187e-001	7.217464e-004
2.087373196519759e-001	8.995268e-004
2.087851767948331e-001	1.077050e-003
2.088330339376903e-001	1.254317e-003
2.088340339376903e-001	1.258018e-003
2.089801767948333e-001	1.797829e-003
2.091263196519763e-001	2.334899e-003
2.092724625091193e-001	2.869229e-003
2.094186053662623e-001	3.400819e-003
2.095647482234053e-001	3.929668e-003
2.097108910805483e-001	4.455777e-003
2.098570339376913e-001	4.979146e-003
2.098580339376913e-001	4.982715e-003
2.100041767948343e-001	5.503062e-003
2.101503196519773e-001	6.020178e-003
2.102964625091203e-001	6.534064e-003
2.104426053662633e-001	7.044720e-003
2.105887482234063e-001	7.552146e-003
2.107348910805493e-001	8.056342e-003
2.108810339376923e-001	8.557308e-003
2.108820339376923e-001	8.560724e-003
2.119060339376933e-001	1.196895e-002
2.129300339376944e-001	1.518628e-002
2.139540339376954e-001	1.819367e-002
2.149780339376964e-001	2.097423e-002
2.160020339376974e-001	2.351332e-002
2.170260339376985e-001	2.579855e-002
2.180500339376995e-001	2.781984e-002
2.190740339377005e-001	2.956942e-002
2.200980339377015e-001	3.104185e-002
2.211220339377026e-001	3.223392e-002
2.221460339377036e-001	3.314470e-002
2.231700339377046e-001	3.377543e-002
2.241940339377056e-001	3.412944e-002
