time	V(A,C)
3.265961592748727e-001	6.943798e-002
3.276201592748453e-001	6.850767e-002
3.286441592748179e-001	6.758976e-002
3.296681592747905e-001	6.668425e-002
3.306921592747631e-001	6.579113e-002
3.317161592747357e-001	6.490993e-002
3.327401592747084e-001	6.404114e-002
3.337641592746810e-001	6.318378e-002
3.347881592746536e-001	6.233835e-002
3.358121592746262e-001	6.150389e-002
3.368361592745988e-001	6.068134e-002
3.378601592745714e-001	5.986929e-002
3.388841592745440e-001	5.906868e-002
3.399081592745166e-001	5.827904e-002
3.409321592744892e-001	5.749989e-002
3.419561592744618e-001	5.673122e-002
3.429801592744344e-001	5.597305e-002
3.440041592744070e-001	5.522537e-002
3.450281592743796e-001	5.448771e-002
3.460521592743522e-001	5.376005e-002
3.470761592743248e-001	5.304193e-002
3.481001592742974e-001	5.233383e-002
3.491241592742700e-001	5.163527e-002
3.501481592742426e-001	5.094624e-002
3.511721592742152e-001	5.026674e-002
3.521961592741878e-001	4.959631e-002
3.532201592741604e-001	4.893494e-002
3.542441592741330e-001	4.828262e-002
3.552681592741056e-001	4.763889e-002
3.562921592740782e-001	4.700422e-002
3.573161592740508e-001	4.637814e-002
3.583401592740234e-001	4.576015e-002
3.593641592739960e-001	4.515076e-002
3.603881592739686e-001	4.454994e-002
3.614121592739412e-001	4.395676e-002
3.624361592739138e-001	4.337215e-002
3.634601592738864e-001	4.279518e-002
3.644841592738590e-001	4.222584e-002
3.655081592738316e-001	4.166460e-002
3.665321592738042e-001	4.111052e-002
3.675561592737768e-001	4.056454e-002
3.685801592737494e-001	4.002571e-002
3.696041592737220e-001	3.949404e-002
3.706281592736946e-001	3.896952e-002
3.716521592736672e-001	3.845263e-002
3.726761592736398e-001	3.794241e-002
3.737001592736124e-001	3.743887e-002
3.747241592735850e-001	3.694248e-002
3.757481592735577e-001	3.645277e-002
3.767721592735303e-001	3.596973e-002
3.777961592735029e-001	3.549290e-002
3.788201592734755e-001	3.502321e-002
3.798441592734481e-001	3.455925e-002
3.808681592734207e-001	3.410196e-002
3.818921592733933e-001	3.365088e-002
3.829161592733659e-001	3.320551e-002
3.839401592733385e-001	3.276634e-002
3.849641592733111e-001	3.233337e-002
3.859881592732837e-001	3.190613e-002
3.870121592732563e-001	3.148460e-002
3.880361592732289e-001	3.106880e-002
3.890601592732015e-001	3.065872e-002
3.900841592731741e-001	3.025436e-002
3.911081592731467e-001	2.985525e-002
3.921321592731193e-001	2.946186e-002
3.931561592730919e-001	2.907324e-002
3.941801592730645e-001	2.869034e-002
3.952041592730371e-001	2.831268e-002
3.962281592730097e-001	2.793980e-002
3.972521592729823e-001	2.757215e-002
3.982761592729549e-001	2.720976e-002
3.993001592729275e-001	2.685165e-002
4.003241592729001e-001	2.649879e-002
4.013481592728727e-001	2.615070e-002
4.023721592728453e-001	2.580738e-002
4.033961592728179e-001	2.546883e-002
4.044201592727905e-001	2.513456e-002
4.054441592727631e-001	2.480507e-002
4.064681592727357e-001	2.447987e-002
4.074921592727083e-001	2.415943e-002
4.085161592726809e-001	2.384281e-002
4.095401592726535e-001	2.353096e-002
4.105641592726261e-001	2.322292e-002
4.115881592725987e-001	2.291918e-002
4.126121592725713e-001	2.261972e-002
4.136361592725439e-001	2.232409e-002
4.146601592725165e-001	2.203274e-002
4.156841592724891e-001	2.174520e-002
4.167081592724617e-001	2.146149e-002
4.177321592724343e-001	2.118206e-002
4.187561592724070e-001	2.090597e-002
4.197801592723796e-001	2.063370e-002
4.208041592723522e-001	2.036524e-002
4.218281592723248e-001	2.010012e-002
4.228521592722974e-001	1.983881e-002
4.238761592722700e-001	1.958084e-002
4.249001592722426e-001	1.932669e-002
4.259241592722152e-001	1.907587e-002
4.269481592721878e-001	1.882839e-002
4.279721592721604e-001	1.858425e-002
4.289961592721330e-001	1.834393e-002
4.300201592721056e-001	1.810646e-002
4.310441592720782e-001	1.787186e-002
4.320681592720508e-001	1.764107e-002
4.330921592720234e-001	1.741314e-002
4.341161592719960e-001	1.718807e-002
4.351401592719686e-001	1.696634e-002
4.361641592719412e-001	1.674747e-002
4.371881592719138e-001	1.653147e-002
4.382121592718864e-001	1.631880e-002
4.392361592718590e-001	1.610851e-002
4.402601592718316e-001	1.590157e-002
4.412841592718042e-001	1.569700e-002
4.423081592717768e-001	1.549530e-002
4.433321592717494e-001	1.529646e-002
4.443561592717220e-001	1.510048e-002
4.453801592716946e-001	1.490688e-002
4.464041592716672e-001	1.471615e-002
4.474281592716398e-001	1.452780e-002
4.484521592716124e-001	1.434183e-002
4.494761592715850e-001	1.415873e-002
4.505001592715576e-001	1.397800e-002
4.515241592715302e-001	1.379967e-002
4.525481592715028e-001	1.362419e-002
4.535721592714754e-001	1.345062e-002
4.545961592714480e-001	1.327944e-002
4.556201592714206e-001	1.311064e-002
4.566441592713932e-001	1.294422e-002
4.576681592713658e-001	1.277971e-002
4.586921592713384e-001	1.261759e-002
4.597161592713110e-001	1.245785e-002
4.607401592712836e-001	1.230001e-002
4.617641592712563e-001	1.214457e-002
4.627881592712289e-001	1.199150e-002
4.638121592712015e-001	1.183987e-002
4.648361592711741e-001	1.169062e-002
4.658601592711467e-001	1.154327e-002
4.668841592711193e-001	1.139832e-002
4.679081592710919e-001	1.125479e-002
4.689321592710645e-001	1.111364e-002
4.699561592710371e-001	1.097393e-002
4.709801592710097e-001	1.083660e-002
4.720041592709823e-001	1.070070e-002
4.730281592709549e-001	1.056719e-002
4.740521592709275e-001	1.043510e-002
4.750761592709001e-001	1.030493e-002
4.761001592708727e-001	1.017618e-002
4.771241592708453e-001	1.004982e-002
4.781481592708179e-001	9.924412e-003
4.791721592707905e-001	9.801388e-003
4.801961592707631e-001	9.679794e-003
4.812201592707357e-001	9.559631e-003
4.822441592707083e-001	9.441376e-003
4.832681592706809e-001	9.324551e-003
4.842921592706535e-001	9.209633e-003
4.853161592706261e-001	9.095669e-003
4.863401592705987e-001	8.983612e-003
4.873641592705713e-001	8.872986e-003
4.883881592705439e-001	8.764267e-003
4.894121592705165e-001	8.656502e-003
4.904361592704891e-001	8.550644e-003
4.914601592704617e-001	8.445740e-003
